TestType,TestName,SerializerType,SerializerName,From,Message
"Serbench.Specimens.Tests.EDI_X12_835","Warmup EDI_X12_835","Serbench.Specimens.Serializers.MessageSharkSerializer","MessageShark","ConfigSer","This serializer crashes the process without even throwing any exceptions that can be caught. This happens on List<edi>"
"Serbench.Specimens.Tests.EDI_X12_835","EDI_X12_835 Single","Serbench.Specimens.Serializers.MessageSharkSerializer","MessageShark","ConfigSer","This serializer crashes the process without even throwing any exceptions that can be caught. This happens on List<edi>"
"Serbench.Specimens.Tests.EDI_X12_835","EDI_X12_835 List(100)","Serbench.Specimens.Serializers.MessageSharkSerializer","MessageShark","ConfigSer","This serializer crashes the process without even throwing any exceptions that can be caught. This happens on List<edi>"
"Serbench.Specimens.Tests.EDI_X12_835","EDI_X12_835 List(500)","Serbench.Specimens.Serializers.MessageSharkSerializer","MessageShark","ConfigSer","This serializer crashes the process without even throwing any exceptions that can be caught. This happens on List<edi>"
"Serbench.Specimens.Tests.EDI_X12_835","Warmup EDI_X12_835","Serbench.Specimens.Serializers.NetJSONSerializer","NetJSON","ConfigSer","Generates zero payloads with unrealistic speeds (millions ops/sec). Needs to be researched"
"Serbench.Specimens.Tests.EDI_X12_835","EDI_X12_835 Single","Serbench.Specimens.Serializers.NetJSONSerializer","NetJSON","ConfigSer","Generates zero payloads with unrealistic speeds (millions ops/sec). Needs to be researched"
"Serbench.Specimens.Tests.EDI_X12_835","EDI_X12_835 List(100)","Serbench.Specimens.Serializers.NetJSONSerializer","NetJSON","ConfigSer","Generates zero payloads with unrealistic speeds (millions ops/sec). Needs to be researched"
"Serbench.Specimens.Tests.EDI_X12_835","EDI_X12_835 List(500)","Serbench.Specimens.Serializers.NetJSONSerializer","NetJSON","ConfigSer","Generates zero payloads with unrealistic speeds (millions ops/sec). Needs to be researched"
"Serbench.Specimens.Tests.EDI_X12_835","Warmup EDI_X12_835","Serbench.Specimens.Serializers.SharpSerializer","SharpSerializer","ConfigSer","Generates zero payloads with unrealistic speeds (millions ops/sec). Needs to be researched"
"Serbench.Specimens.Tests.EDI_X12_835","EDI_X12_835 Single","Serbench.Specimens.Serializers.SharpSerializer","SharpSerializer","ConfigSer","Generates zero payloads with unrealistic speeds (millions ops/sec). Needs to be researched"
"Serbench.Specimens.Tests.EDI_X12_835","EDI_X12_835 List(100)","Serbench.Specimens.Serializers.SharpSerializer","SharpSerializer","ConfigSer","Generates zero payloads with unrealistic speeds (millions ops/sec). Needs to be researched"
"Serbench.Specimens.Tests.EDI_X12_835","EDI_X12_835 List(500)","Serbench.Specimens.Serializers.SharpSerializer","SharpSerializer","ConfigSer","Generates zero payloads with unrealistic speeds (millions ops/sec). Needs to be researched"
