SerializerType,SerializerName,Family,MetadataRequirement,VendorName,VendorLicense,VendorURL,VendorPackageAddress,FormatName,LinesOfCodeK,DataTypes,Assemblies,ExternalReferences,PackageSizeKb
"Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","Binary","None","Microsoft","Windows","https://msdn.microsoft.com/en-us/library/system.runtime.serialization.formatters.binary.binaryformatter(v=vs.110).aspx","mscorlib.dll","BinaryFormatter","0","0","1","0","0"
"Serbench.StockSerializers.MSDataContractJsonSerializer","MS.DataContractJsonSerializer","Textual","Attributes","Microsoft","Windows","https://msdn.microsoft.com/en-us/library/system.runtime.serialization.json.datacontractjsonserializer(v=vs.110).aspx","System.Runtime.Serialization.dll","JSON","0","0","1","0","0"
"Serbench.StockSerializers.MSDataContractSerializer","MS.DataContractSerializer","Textual","Attributes","Microsoft","Windows","https://msdn.microsoft.com/en-us/library/system.runtime.serialization.json.datacontractjsonserializer(v=vs.110).aspx","System.Runtime.Serialization.dll","DataContractSerializer","0","0","1","0","0"
"Serbench.StockSerializers.MSJavaScriptSerializer","MS.JavaScriptSerializer","Textual","None","Microsoft","Windows","https://msdn.microsoft.com/en-us/library/system.web.script.serialization.javascriptserializer%28v=vs.110%29.aspx","System.Web.Extensions.dll","JSON","0","0","1","0","0"
"Serbench.StockSerializers.MSXmlSerializer","MS.XmlSerializer","Textual","None","Microsoft","Windows","https://msdn.microsoft.com/en-us/library/system.xml.serialization.xmlserializer(v=vs.110).aspx","System.Xml.dll, System.Xml.Serialization.dll","XML","0","0","2","0","4533"
"Serbench.StockSerializers.NFXJson","NFX.Json Default","Textual","None","IT Adapter LLC","Apache 2.0 + Commercial","http://itadapter.com","https://github.com/aumcode/nfx","JSON","2","10","1","0","1777"
"Serbench.StockSerializers.NFXJson","NFX.Json Pretty Print","Textual","None","IT Adapter LLC","Apache 2.0 + Commercial","http://itadapter.com","https://github.com/aumcode/nfx","JSON","2","10","1","0","1777"
"Serbench.StockSerializers.NFXSlim","NFX.Slim Default","Binary","None","IT Adapter LLC","Apache 2.0 + Commercial","http://itadapter.com","http://github.com/aumcode/nfx","Slim","7","32","1","0","1500"
"Serbench.StockSerializers.NFXSlim","NFX.Slim Known Types","Binary","None","IT Adapter LLC","Apache 2.0 + Commercial","http://itadapter.com","http://github.com/aumcode/nfx","Slim","7","32","1","0","1500"
"Serbench.Specimens.Serializers.ApJsonSerializer","Apolyton.FastJson","Textual","None","Aron Kovacs","The Code Project Open License (CPOL)","http://www.codeproject.com/Articles/491742/APJSON","Apolyton.FastJson.dll","JSON","0","0","1","0","70"
"Serbench.Specimens.Serializers.FastJsonSerializer","FastJson","Textual","None","Mehdi Gholam","The Code Project Open License (CPOL)","https://github.com/mgholam/fastJSON","Install-Package fastJSON","JSON","0","0","1","0","40"
"Serbench.Specimens.Serializers.JilSerializer","Jil","Textual","None","Kevin Montrose","The MIT License (MIT)","https://github.com/kevin-montrose/Jil","Install-Package Jil","JSON","60","320","2","1","393"
"Serbench.Specimens.Serializers.JsonFxSerializer","JsonFx","Textual","None","Stephen M. McKamey","The MIT License (MIT)","https://github.com/jsonfx/jsonfx","Install-Package JsonFx","JSON","0","0","1","0","214"
"Serbench.Specimens.Serializers.JsonNet","Json.Net","Textual","None","Stephen M. McKamey","The MIT License (MIT)","http://www.newtonsoft.com/json","Install-Package Newtonsoft.Json","JSON","0","0","1","0","502"
"Serbench.Specimens.Serializers.MessageSharkSerializer","MessageShark","Binary","None","TJ Bakre","The GNU Library General Public License (LGPL)","https://github.com/rpgmaker/MessageShark","Install-Package MessageShark","MessageShark","0","0","1","0","49"
"Serbench.Specimens.Serializers.MsgPackSerializer","MsgPack","Binary","None","Sadayuki Furuhashi","Apache 2.0","https://github.com/msgpack/msgpack-cli","Install-Package MsgPack.Cli","MsgPack","0","0","1","0","429"
"Serbench.Specimens.Serializers.NetJSONSerializer","NetJSON","Textual","None","Phoenix Service Bus, Inc","The MIT License (MIT)","https://github.com/rpgmaker/NetJSON","Install-Package NetJSON","JSON","0","0","1","0","162"
"Serbench.Specimens.Serializers.NetSerializerSer","NetSerializer","Textual","Attributes","Tomi Valkeinen","The Mozilla Public License 2.0 (MPL)","https://github.com/tomba/netserializer","Install-Package NetSerializer","JSON","0","0","1","0","30"
"Serbench.Specimens.Serializers.ProtoBufSerializer","ProtoBuf","Binary","Attributes","Marc Gravell","The Apache License 2.0","https://github.com/mgravell/protobuf-net","Install-Package protobuf-net","protobuf","0","0","1","0","193"
"Serbench.Specimens.Serializers.ServiceStackJsonSerializer","ServiceStack.JsonSerializer","Textual","Attributes","Service Stack","All OSS Licenses + Commercial","https://github.com/ServiceStack/ServiceStack.Text","Install-Package ServiceStack.Text","JSON","0","0","1","0","307"
"Serbench.Specimens.Serializers.ServiceStackTypeSerializer","ServiceStack.TypeSerializer","Textual","Attributes","Service Stack","All OSS Licenses + Commercial","https://github.com/ServiceStack/ServiceStack.Text","Install-Package ServiceStack.Text","JSV","0","0","1","0","307"
"Serbench.Specimens.Serializers.SharpSerializer","SharpSerializer","Binary","Attributes","Pawel Idzikowski / Polenter-Software Solutions","New BSD License (BSD)","http://www.sharpserializer.com/en/index.html","Install-Package SharpSerializer","SharpSerializer","0","0","1","0","244"
