TestType,TestName,SerializerType,SerializerName,RunNumber,RunException,DoGc,SerSupported,SerIterations,SerExceptions,SerAborts,FirstSerAbortMsg,SerDurationMs,SerDurationTicks,SerOpsSec,PayloadSize,DeserSupported,DeserIterations,DeserExceptions,DeserAborts,FirstDeserAbortMsg,DeserDurationMs,DeserDurationTicks,DeserOpsSec
"Serbench.Specimens.Tests.EDI_X12_835","Warmup EDI_X12_835","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","0",,"True","True","1","0","0",,"9","29086","107","32125","True","1","0","0",,"8","26806","116"
"Serbench.Specimens.Tests.EDI_X12_835","EDI_X12_835 Single","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","0",,"True","True","1000","0","0",,"1086","3398903","919","32018","True","1000","0","0",,"1027","3213892","972"
"Serbench.Specimens.Tests.EDI_X12_835","EDI_X12_835 List(100)","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","0",,"True","True","25","0","0",,"2332","7294115","10","1405699","True","25","0","0",,"2272","7104434","11"
"Serbench.Specimens.Tests.EDI_X12_835","EDI_X12_835 List(500)","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","0",,"True","True","5","0","0",,"2667","8341035","1","6950015","True","5","0","0",,"4334","13554757","1"
"Serbench.Specimens.Tests.EDI_X12_835","Warmup EDI_X12_835","Serbench.StockSerializers.MSDataContractJsonSerializer","MS.DataContractJsonSerializer","0",,"True","True","1","0","0",,"176","550814","5","25127","True","1","0","0",,"207","650246","4"
"Serbench.Specimens.Tests.EDI_X12_835","EDI_X12_835 Single","Serbench.StockSerializers.MSDataContractJsonSerializer","MS.DataContractJsonSerializer","0",,"True","True","1000","0","0",,"366","1146882","2726","24940","True","1000","0","0",,"1367","4276378","731"
"Serbench.Specimens.Tests.EDI_X12_835","EDI_X12_835 List(100)","Serbench.StockSerializers.MSDataContractJsonSerializer","MS.DataContractJsonSerializer","0",,"True","True","25","0","0",,"940","2939896","26","2511254","True","25","0","0",,"3475","10867194","7"
"Serbench.Specimens.Tests.EDI_X12_835","EDI_X12_835 List(500)","Serbench.StockSerializers.MSDataContractJsonSerializer","MS.DataContractJsonSerializer","0",,"True","True","5","0","0",,"942","2945881","5","12564300","True","5","0","0",,"3461","10822895","1"
"Serbench.Specimens.Tests.EDI_X12_835","Warmup EDI_X12_835","Serbench.StockSerializers.MSDataContractSerializer","MS.DataContractSerializer","0",,"True","True","1","0","0",,"104","327438","9","45969","True","1","0","0",,"184","577101","5"
"Serbench.Specimens.Tests.EDI_X12_835","EDI_X12_835 Single","Serbench.StockSerializers.MSDataContractSerializer","MS.DataContractSerializer","0",,"True","True","1000","0","0",,"236","740035","4225","45486","True","1000","0","0",,"901","2818202","1109"
"Serbench.Specimens.Tests.EDI_X12_835","EDI_X12_835 List(100)","Serbench.StockSerializers.MSDataContractSerializer","MS.DataContractSerializer","0",,"True","True","25","0","0",,"614","1922980","40","4575133","True","25","0","0",,"2253","7046111","11"
"Serbench.Specimens.Tests.EDI_X12_835","EDI_X12_835 List(500)","Serbench.StockSerializers.MSDataContractSerializer","MS.DataContractSerializer","0",,"True","True","5","0","0",,"621","1942074","8","22904636","True","5","0","0",,"2252","7042683","2"
"Serbench.Specimens.Tests.EDI_X12_835","Warmup EDI_X12_835","Serbench.StockSerializers.MSJavaScriptSerializer","MS.JavaScriptSerializer","0",,"True","True","1","0","0",,"50","158651","19","25117","True","1","0","0",,"19","59631","52"
"Serbench.Specimens.Tests.EDI_X12_835","EDI_X12_835 Single","Serbench.StockSerializers.MSJavaScriptSerializer","MS.JavaScriptSerializer","0",,"True","True","1000","0","0",,"3828","11971388","261","24960","True","1000","0","0",,"3184","9957750","314"
