TestType,TestName,SerializerType,SerializerName,RunNumber,RunException,DoGc,SerSupported,SerIterations,SerExceptions,SerAborts,FirstSerAbortMsg,SerDurationMs,SerDurationTicks,SerOpsSec,PayloadSize,DeserSupported,DeserIterations,DeserExceptions,DeserAborts,FirstDeserAbortMsg,DeserDurationMs,DeserDurationTicks,DeserOpsSec
"Serbench.Specimens.Tests.MsgBatching","Warmup Person","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","0",,"True","True","1","0","0",,"4","12532","249","2883","True","1","0","0",,"5","15925","196"
"Serbench.Specimens.Tests.MsgBatching","Warmup RPC","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","0",,"True","True","1","0","0",,"0","1178","2654","1214","True","1","0","0",,"0","1006","3108"
"Serbench.Specimens.Tests.MsgBatching","Warmup Trading","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","0",,"True","True","1","0","0",,"0","388","8059","208","True","1","0","0",,"0","255","12262"
"Serbench.Specimens.Tests.MsgBatching","Warmup EDI","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","0",,"True","True","1","0","0",,"8","25632","121","32352","True","1","0","0",,"5","17319","180"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","0",,"True","True","1","0","0",,"6","21464","145","288072","True","1","0","0",,"5","16806","186"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","1",,"True","True","1","0","0",,"6","19035","164","288072","True","1","0","0",,"4","15108","206"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","2",,"True","True","1","0","0",,"6","18960","164","288072","True","1","0","0",,"4","15197","205"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","3",,"True","True","1","0","0",,"5","17675","176","288072","True","1","0","0",,"4","13931","224"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","4",,"True","True","1","0","0",,"5","17909","174","288072","True","1","0","0",,"4","13877","225"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","5",,"True","True","1","0","0",,"6","19961","156","288072","True","1","0","0",,"4","15085","207"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","6",,"True","True","1","0","0",,"6","18953","164","288072","True","1","0","0",,"4","14981","208"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","7",,"True","True","1","0","0",,"5","17469","178","288072","True","1","0","0",,"4","13994","223"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","8",,"True","True","1","0","0",,"5","17629","177","288072","True","1","0","0",,"4","14299","218"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","9",,"True","True","1","0","0",,"5","17640","177","288072","True","1","0","0",,"4","13844","225"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","10",,"True","True","1","0","0",,"6","18944","165","288072","True","1","0","0",,"4","14212","220"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","11",,"True","True","1","0","0",,"5","17762","176","288072","True","1","0","0",,"4","13948","224"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","12",,"True","True","1","0","0",,"5","17589","177","288072","True","1","0","0",,"4","13790","226"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","13",,"True","True","1","0","0",,"5","17621","177","288072","True","1","0","0",,"4","13842","225"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","14",,"True","True","1","0","0",,"5","18028","173","288072","True","1","0","0",,"4","13762","227"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","15",,"True","True","1","0","0",,"5","17671","176","288072","True","1","0","0",,"4","13716","227"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","16",,"True","True","1","0","0",,"5","17495","178","288072","True","1","0","0",,"4","13672","228"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","17",,"True","True","1","0","0",,"5","17930","174","288072","True","1","0","0",,"4","14198","220"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","18",,"True","True","1","0","0",,"5","17600","177","288072","True","1","0","0",,"4","14360","217"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","19",,"True","True","1","0","0",,"5","17904","174","288072","True","1","0","0",,"4","14305","218"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","20",,"True","True","1","0","0",,"5","17520","178","288072","True","1","0","0",,"4","14092","221"
"Serbench.Specimens.Tests.MsgBatching","Personal Count: 100","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","21",,"True","True","1","0","0",,"5","17869","174","288072","True","1","0","0",,"4","14036","222"
