TestType,TestName,SerializerType,SerializerName,RunNumber,RunException,DoGc,SerSupported,SerIterations,SerExceptions,SerAborts,FirstSerAbortMsg,SerDurationMs,SerDurationTicks,SerOpsSec,PayloadSize,DeserSupported,DeserIterations,DeserExceptions,DeserAborts,FirstDeserAbortMsg,DeserDurationMs,DeserDurationTicks,DeserOpsSec
"Serbench.Specimens.Tests.ObjectGraph","Warmup ObjectGraph","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","0",,"True","True","1","0","0",,"3","12417","251","6094","True","1","0","0",,"3","10248","305"
"Serbench.Specimens.Tests.ObjectGraph","Conferences: 1; Participants: 250; Events: 10","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","0",,"True","True","100","0","0",,"891","2786272","112","140687","True","100","0","0",,"698","2183963","143"
"Serbench.Specimens.Tests.ObjectGraph","Conferences: 16; Participants: 16; Events: 5","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","0",,"True","True","100","0","0",,"1005","3143151","99","164206","True","100","0","0",,"822","2570402","121"
"Serbench.Specimens.Tests.ObjectGraph","Warmup ObjectGraph","Serbench.StockSerializers.MSDataContractJsonSerializer","MS.DataContractJsonSerializer","0","[Serbench.SerbenchException] Test run failed as serialization not supported","True","False","1","1","0",,"21","66187","47","0","False","0","0","0",,"0","0","0"
"Serbench.Specimens.Tests.ObjectGraph","Conferences: 1; Participants: 250; Events: 10","Serbench.StockSerializers.MSDataContractJsonSerializer","MS.DataContractJsonSerializer","0",,"True","False","0","3","0",,"0","0","0","0","False","0","0","0",,"0","0","0"
"Serbench.Specimens.Tests.ObjectGraph","Conferences: 16; Participants: 16; Events: 5","Serbench.StockSerializers.MSDataContractJsonSerializer","MS.DataContractJsonSerializer","0",,"True","False","0","3","0",,"0","0","0","0","False","0","0","0",,"0","0","0"
"Serbench.Specimens.Tests.ObjectGraph","Warmup ObjectGraph","Serbench.StockSerializers.MSDataContractSerializer","MS.DataContractSerializer","0",,"True","True","1","0","0",,"35","111195","28","4812","True","1","0","0",,"47","147490","21"
"Serbench.Specimens.Tests.ObjectGraph","Conferences: 1; Participants: 250; Events: 10","Serbench.StockSerializers.MSDataContractSerializer","MS.DataContractSerializer","0",,"True","True","100","0","0",,"387","1211877","258","411147","True","100","0","0",,"1041","3256271","96"
"Serbench.Specimens.Tests.ObjectGraph","Conferences: 16; Participants: 16; Events: 5","Serbench.StockSerializers.MSDataContractSerializer","MS.DataContractSerializer","0",,"True","True","100","0","0",,"427","1336837","233","458543","True","100","0","0",,"1173","3668535","85"
"Serbench.Specimens.Tests.ObjectGraph","Warmup ObjectGraph","Serbench.StockSerializers.MSJavaScriptSerializer","MSJavaScriptSerializer","0",,"True","True","1","0","0",,"7","22908","136","3161","True","1","0","0",,"8","25024","124"
"Serbench.Specimens.Tests.ObjectGraph","Conferences: 1; Participants: 250; Events: 10","Serbench.StockSerializers.MSJavaScriptSerializer","MSJavaScriptSerializer","0",,"True","False","0","3","0",,"0","0","0","0","False","0","0","0",,"0","0","0"
"Serbench.Specimens.Tests.ObjectGraph","Conferences: 16; Participants: 16; Events: 5","Serbench.StockSerializers.MSJavaScriptSerializer","MSJavaScriptSerializer","0",,"True","True","100","0","0",,"25983","81247118","3","1444948","True","100","0","0",,"65157","203741854","1"
"Serbench.Specimens.Tests.ObjectGraph","Warmup ObjectGraph","Serbench.StockSerializers.MSXmlSerializer","MSXmlSerializer","0",,"True","True","1","0","0",,"14","46048","67","5734","True","1","0","0",,"63","197291","15"
"Serbench.Specimens.Tests.ObjectGraph","Conferences: 1; Participants: 250; Events: 10","Serbench.StockSerializers.MSXmlSerializer","MSXmlSerializer","0",,"True","True","100","0","0",,"5006","15654146","19","4340826","True","100","0","0",,"4766","14902992","20"
"Serbench.Specimens.Tests.ObjectGraph","Conferences: 16; Participants: 16; Events: 5","Serbench.StockSerializers.MSXmlSerializer","MSXmlSerializer","0",,"True","True","100","0","0",,"2714","8487306","36","2339994","True","100","0","0",,"2684","8393841","37"
"Serbench.Specimens.Tests.ObjectGraph","Warmup ObjectGraph","Serbench.StockSerializers.NFXJson","NFX.Json Default","0",,"True","True","1","0","0",,"17","54949","56","4237","True","1","0","0",,"31","99794","31"
"Serbench.Specimens.Tests.ObjectGraph","Conferences: 1; Participants: 250; Events: 10","Serbench.StockSerializers.NFXJson","NFX.Json Default","0",,"True","True","100","0","0",,"12833","40129914","7","3443913","True","100","0","0",,"47285","147855589","2"
"Serbench.Specimens.Tests.ObjectGraph","Conferences: 16; Participants: 16; Events: 5","Serbench.StockSerializers.NFXJson","NFX.Json Default","0",,"True","True","100","0","0",,"6739","21072959","14","1797535","True","100","0","0",,"23656","73970152","4"
"Serbench.Specimens.Tests.ObjectGraph","Warmup ObjectGraph","Serbench.StockSerializers.NFXSlim","NFX.Slim Default","0",,"True","True","1","0","0",,"98","308273","10","3709","True","1","0","0",,"44","138107","22"
"Serbench.Specimens.Tests.ObjectGraph","Conferences: 1; Participants: 250; Events: 10","Serbench.StockSerializers.NFXSlim","NFX.Slim Default","0",,"True","True","100","0","0",,"243","761891","410","112221","True","100","0","0",,"186","583648","535"
"Serbench.Specimens.Tests.ObjectGraph","Conferences: 16; Participants: 16; Events: 5","Serbench.StockSerializers.NFXSlim","NFX.Slim Default","0",,"True","True","100","0","0",,"317","992282","315","129746","True","100","0","0",,"238","745607","419"
"Serbench.Specimens.Tests.ObjectGraph","Warmup ObjectGraph","Serbench.StockSerializers.NFXSlim","NFX.Slim Known Types","0",,"True","True","1","0","0",,"0","1184","2640","1475","True","1","0","0",,"0","294","10635"
