TestType,TestName,SerializerType,SerializerName,RunNumber,RunException,DoGc,SerSupported,SerIterations,SerExceptions,SerAborts,FirstSerAbortMsg,SerDurationMs,SerDurationTicks,SerOpsSec,PayloadSize,DeserSupported,DeserIterations,DeserExceptions,DeserAborts,FirstDeserAbortMsg,DeserDurationMs,DeserDurationTicks,DeserOpsSec
"Serbench.Specimens.Tests.TypicalPerson","Warmup TypicalPerson(single)","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","0",,"True","True","1","0","0",,"2","8892","351","1776","True","1","0","0",,"2","9110","343"
"Serbench.Specimens.Tests.TypicalPerson","Warmup TypicalPerson(list)","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","0",,"True","True","1","0","0",,"0","1901","1644","2196","True","1","0","0",,"0","1069","2925"
"Serbench.Specimens.Tests.TypicalPerson","TypicalPerson(single)","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","0",,"True","True","75000","0","0",,"2735","8552420","27421","1796","True","75000","0","0",,"2063","6452936","36342"
"Serbench.Specimens.Tests.TypicalPerson","TypicalPerson(list, 100)","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","0",,"True","True","2000","0","0",,"4987","15596116","400","31209","True","2000","0","0",,"2868","8970190","697"
"Serbench.Specimens.Tests.TypicalPerson","TypicalPerson(list, 500)","Serbench.StockSerializers.MSBinaryFormatter","MS.BinaryFormatter","0",,"True","True","400","0","0",,"4906","15343095","81","145958","True","400","0","0",,"2769","8659588","144"
"Serbench.Specimens.Tests.TypicalPerson","Warmup TypicalPerson(single)","Serbench.StockSerializers.MSDataContractJsonSerializer","MS.DataContractJsonSerializer","0",,"True","True","1","0","0",,"52","164597","18","748","True","1","0","0",,"30","96036","32"
"Serbench.Specimens.Tests.TypicalPerson","Warmup TypicalPerson(list)","Serbench.StockSerializers.MSDataContractJsonSerializer","MS.DataContractJsonSerializer","0",,"True","True","1","0","0",,"4","14588","214","761","True","1","0","0",,"1","5542","564"
"Serbench.Specimens.Tests.TypicalPerson","TypicalPerson(single)","Serbench.StockSerializers.MSDataContractJsonSerializer","MS.DataContractJsonSerializer","0",,"True","True","75000","0","0",,"1223","3825099","61310","776","True","75000","0","0",,"2947","9218055","25441"
"Serbench.Specimens.Tests.TypicalPerson","TypicalPerson(list, 100)","Serbench.StockSerializers.MSDataContractJsonSerializer","MS.DataContractJsonSerializer","0",,"True","True","2000","0","0",,"3303","10329021","605","76281","True","2000","0","0",,"8577","26820376","233"
"Serbench.Specimens.Tests.TypicalPerson","TypicalPerson(list, 500)","Serbench.StockSerializers.MSDataContractJsonSerializer","MS.DataContractJsonSerializer","0",,"True","True","400","0","0",,"3300","10321783","121","378109","True","400","0","0",,"8500","26578627","47"
