TestType,TestName,SerializerType,SerializerName,From,Message
"Serbench.Specimens.Tests.TypicalPerson","Warmup TypicalPerson(single)","Serbench.Specimens.Serializers.MessageSharkSerializer","MessageShark","ConfigSer","This serializer crashes the process without even throwing any exceptions"
"Serbench.Specimens.Tests.TypicalPerson","Warmup TypicalPerson(list)","Serbench.Specimens.Serializers.MessageSharkSerializer","MessageShark","ConfigSer","This serializer crashes the process without even throwing any exceptions"
"Serbench.Specimens.Tests.TypicalPerson","TypicalPerson(single)","Serbench.Specimens.Serializers.MessageSharkSerializer","MessageShark","ConfigSer","This serializer crashes the process without even throwing any exceptions"
"Serbench.Specimens.Tests.TypicalPerson","TypicalPerson(list, 100)","Serbench.Specimens.Serializers.MessageSharkSerializer","MessageShark","ConfigSer","This serializer crashes the process without even throwing any exceptions"
"Serbench.Specimens.Tests.TypicalPerson","TypicalPerson(list, 500)","Serbench.Specimens.Serializers.MessageSharkSerializer","MessageShark","ConfigSer","This serializer crashes the process without even throwing any exceptions"
"Serbench.Specimens.Tests.TypicalPerson","Warmup TypicalPerson(single)","Serbench.Specimens.Serializers.NetJSONSerializer","NetJSONS","ConfigSer","Generates zero payloads with unrealistic speeds (millions ops/sec). Needs to be researched"
"Serbench.Specimens.Tests.TypicalPerson","Warmup TypicalPerson(list)","Serbench.Specimens.Serializers.NetJSONSerializer","NetJSONS","ConfigSer","Generates zero payloads with unrealistic speeds (millions ops/sec). Needs to be researched"
"Serbench.Specimens.Tests.TypicalPerson","TypicalPerson(single)","Serbench.Specimens.Serializers.NetJSONSerializer","NetJSONS","ConfigSer","Generates zero payloads with unrealistic speeds (millions ops/sec). Needs to be researched"
"Serbench.Specimens.Tests.TypicalPerson","TypicalPerson(list, 100)","Serbench.Specimens.Serializers.NetJSONSerializer","NetJSONS","ConfigSer","Generates zero payloads with unrealistic speeds (millions ops/sec). Needs to be researched"
"Serbench.Specimens.Tests.TypicalPerson","TypicalPerson(list, 500)","Serbench.Specimens.Serializers.NetJSONSerializer","NetJSONS","ConfigSer","Generates zero payloads with unrealistic speeds (millions ops/sec). Needs to be researched"
"Serbench.Specimens.Tests.TypicalPerson","Warmup TypicalPerson(single)","Serbench.Specimens.Serializers.SharpSerializer","SharpSerializer","ConfigSer","Generates zero payloads with unrealistic speeds (millions ops/sec). Needs to be researched"
"Serbench.Specimens.Tests.TypicalPerson","Warmup TypicalPerson(list)","Serbench.Specimens.Serializers.SharpSerializer","SharpSerializer","ConfigSer","Generates zero payloads with unrealistic speeds (millions ops/sec). Needs to be researched"
"Serbench.Specimens.Tests.TypicalPerson","TypicalPerson(single)","Serbench.Specimens.Serializers.SharpSerializer","SharpSerializer","ConfigSer","Generates zero payloads with unrealistic speeds (millions ops/sec). Needs to be researched"
"Serbench.Specimens.Tests.TypicalPerson","TypicalPerson(list, 100)","Serbench.Specimens.Serializers.SharpSerializer","SharpSerializer","ConfigSer","Generates zero payloads with unrealistic speeds (millions ops/sec). Needs to be researched"
"Serbench.Specimens.Tests.TypicalPerson","TypicalPerson(list, 500)","Serbench.Specimens.Serializers.SharpSerializer","SharpSerializer","ConfigSer","Generates zero payloads with unrealistic speeds (millions ops/sec). Needs to be researched"
